Name,Gender,Age,MStat,PostCode,Population,NClaims,TotalClaims
BIRDIE MCCLINTOCK,F,57,S,7316,6017,0,0
TOD MEAD,M,65,M,3188,16874,0,0
IRVIN MERTZ,M,50,M,5108,37960,0,0
NELIA HOYLE,F,19,M,3461,3953,0,0
LUANNE SEAL,F,39,S,6105,13518,0,0
ALLEN CARTAGENA,F,50,S,2710,9834,0,0
RENATO DENT,M,20,M,4520,12239,0,0
SIOBHAN CHING,F,47,S,3934,17089,1,1995.433467
DEADRA REAGAN,F,79,S,6026,22425,0,0
ANGEL RAMBO,M,62,S,4565,13966,1,5282.502291
BRENTON HUEY,M,24,S,3072,29926,2,16911.46548
NEWTON KEARNS,M,73,S,3111,11793,1,5868.246199
GABRIEL GRANT,F,26,M,2141,25479,1,649.2248702
RUDY ALDERMAN,M,28,M,4874,4956,0,0
MITSUKO BUDD,F,89,S,6027,42096,0,0
CARIDAD NALL,F,86,S,5086,15158,1,6155.125653
MILES HIGGS,M,20,M,6022,4982,0,0
SILVIA SANTAMARIA,F,23,M,2830,37737,0,0
TONYA MCWILLIAMS,F,33,S,5608,13855,0,0
MACK PALMER,M,53,M,3620,8026,0,0
TAYLOR MCKENNA,M,74,S,4069,33073,1,1422.371998
MAX FUQUA,M,20,S,4550,4178,1,5480.135578
CHET KINGSTON,M,34,M,6232,9423,0,0
LENORA DELL,F,52,S,3161,14555,0,0
MICHEAL SOSA,M,53,S,3805,54481,0,0
TIMMY MACEDO,M,64,S,2350,24474,1,2451.867951
BERT FAGAN,M,59,S,3133,21317,0,0
SALINA CRAWLEY,F,71,S,2283,23078,1,6793.357464
RANDOLPH BONTRAGER,M,31,M,2463,7146,0,0
YONG COLES,M,64,M,3088,26464,0,0
LUTHER LEDFORD,M,24,M,6220,4699,0,0
ISIDRO ALLEN,M,33,M,3149,32075,0,0
DAMIAN EMMONS,M,26,S,2234,30830,0,0
KRISTOFER FAGAN,M,42,S,2049,10455,0,0
BRANT KEEFE,M,74,S,2484,18050,0,0
KANDRA PEEBLES,F,23,M,7253,5100,0,0
MORGAN JENSEN,M,36,M,3150,58306,1,2086.875018
EMELINE GRIMES,F,85,S,3174,35770,1,7141.485032
MAY ARMENTA,F,53,S,4614,1229,0,0
RAYMUNDO WRIGHT,M,58,S,2199,16003,0,0
STEFANIA MCCARTER,F,27,S,2340,45700,0,0
DANILO KIDWELL,M,73,S,6026,22425,0,0
KENNA EAGLE,F,79,S,4509,19380,0,0
COLUMBUS FERRARA,M,43,S,2480,44394,0,0
KERRY VALLADARES,F,37,M,3162,16434,0,0
FREDDY SANDERS,M,17,S,5045,15453,1,4385.527457
JOHANA ADLER,F,17,S,2161,28269,0,0
DORRIS HO,F,64,S,2914,13827,1,953.258424
HYE MOY,F,39,S,4053,41786,0,0
ERICH COUSINS,M,54,M,6051,12351,1,2086.619231
LIDA LARA,F,69,S,2137,24018,1,12630.49881
FAUSTO MAYA,M,22,S,6020,20283,0,0
CESAR ALLAN,M,49,S,2749,15771,1,4535.316243
JOETTA HEADLEY,F,34,S,2250,65633,0,0
WINONA FRASER,F,54,S,4109,35371,1,15447.47719
FRANK CRITES,F,64,S,2750,42587,1,4372.32968
EDGARDO MATHEW,M,31,S,2036,26896,0,0
GLENDORA BEERS,F,49,S,6027,42096,1,629.9859874
CHRISTINIA SONG,F,48,M,4505,18727,0,0
LEONORE MARLOW,F,57,S,3152,31239,1,1488.428378
ARTHUR SKIDMORE,M,69,S,6163,46259,0,0
DAVID KERR,M,51,S,2444,42618,0,0
RICHIE APONTE,M,68,S,4725,1653,0,0
GAVIN STULL,M,40,S,6062,31116,0,0
ENID DUNNING,F,49,S,4109,35371,0,0
NILSA STEPHENS,F,72,S,2213,20376,0,0
HERSHEL BERMUDEZ,M,34,S,2285,27798,2,6300.869123
LESHA GILMORE,F,82,S,3505,4641,0,0
MARYROSE BEAUCHAMP,F,32,M,5117,2363,0,0
AVA WANG,F,66,S,4510,42205,0,0
ALVA BECERRA,M,67,M,2650,53974,0,0
MILLARD ALCANTARA,M,53,S,5169,13926,0,0
CHARLINE PARRY,F,67,S,4301,23203,1,2529.440839
MYRTIS CLEMENTE,F,22,M,4077,25158,1,300
SOO MASSIE,F,67,S,4035,23303,1,2088.535453
HARRIET KARR,F,49,S,7211,426,0,0
CECIL MILLAN,M,53,S,2200,40612,0,0
JANETTE HAWLEY,F,71,S,7011,14421,0,0
ROMEO LINVILLE,M,21,M,2107,14464,0,0
CRUZ HERNANDES,M,67,S,4879,17138,0,0
BUENA FRIES,F,90,S,2479,4540,0,0
RONNY ALBERS,M,62,S,3342,3124,0,0
CAPRICE STONER,F,42,M,3977,67423,2,6879.455676
JOEANN BEIL,F,24,M,3023,55703,0,0
TAMIE MAIER,F,63,S,6065,52076,0,0
LORENZA RANDLE,F,34,S,2153,52452,3,12407.28465
MERTIE PRESLEY,F,52,S,3805,54481,0,0
FIDEL MCCOLLUM,M,59,S,3049,8783,0,0
CHRISTOPER BICKFORD,M,65,S,2300,10083,0,0
SADIE PRESLEY,F,27,S,3224,10112,0,0
MARGERET MAYORGA,F,34,S,2096,13875,0,0
LANELLE FRANCO,F,69,S,2651,2218,0,0
FLORENTINO BRENNAN,M,63,S,3039,13532,0,0
TANEKA SLADE,F,17,S,4020,20373,0,0
LACHELLE PARK,F,45,S,2000,22758,0,0
GRADY HENNESSEY,M,17,S,2671,3891,0,0
GLEN FISHER,M,46,S,2101,17980,0,0
ADELA WOOLDRIDGE,F,49,S,4059,11561,1,2776.265241
ISSAC KEATON,M,57,S,3174,35770,0,0
DEAN DIETRICH,M,27,S,2220,28432,0,0
ADRIAN MCWILLIAMS,M,69,S,4171,14543,0,0
GARFIELD WEATHERS,M,35,M,4551,48893,2,600
PILAR CONOVER,F,45,S,2463,7146,0,0
FERMIN REGALADO,M,38,S,5341,7493,1,300
ROCHELLE VAUGHT,F,50,S,4152,42501,0,0
INGER DEAN,F,31,S,3377,8682,0,0
ELMIRA MCINTIRE,F,37,S,2103,10164,1,6954.579489
GLENDORA GILLESPIE,F,83,S,3012,23126,0,0
JERALD RIVERS,M,59,M,6061,33695,0,0
JAMA FRAME,F,42,M,3155,20827,0,0
ALISA JENSEN,F,60,S,3672,10333,1,1916.290815
LAWANDA SHERMAN,F,39,S,3047,18999,0,0
SUZAN STPIERRE,F,50,S,2785,4570,0,0
ARTHUR JONAS,M,30,S,2774,12650,1,5265.88507
NAPOLEON DOUCETTE,M,40,S,4551,48893,1,2769.48728
MUOI NILSON,F,46,S,2179,5404,1,504.849028
ADRIAN SILVERMAN,M,55,S,4626,2032,2,7297.993927
CLARA OTIS,F,22,M,6044,1478,0,0
MELINDA MCCALLUM,F,69,S,2291,13399,1,8590.225941
OLLIE MURO,F,51,S,2084,3535,0,0
SILVANA ONTIVEROS,F,36,M,6112,40252,0,0
AMOS BEAUCHAMP,M,79,S,2285,27798,1,4526.716098
RANDELL ROBERTS,M,63,S,4306,31409,1,16428.36265
PEG WALLIS,F,38,S,4179,18151,1,1925.452924
SIGRID MOTA,F,65,S,3764,7535,1,1565.61101
SERGIO WILHITE,M,35,S,3044,24421,1,4140.67427
KELLEY PELAYO,M,68,S,3825,20324,0,0
FELISA ANGLIN,F,17,S,5035,5863,0,0
MAN BUNTING,M,18,M,3186,21255,0,0
WADE FOGARTY,M,50,S,6163,46259,3,6935.949233
PANSY FERRARO,F,46,M,3145,21301,0,0
ZELLA WAHL,F,80,S,2540,41738,0,0
BURL CONNOR,M,35,M,3130,30408,1,2729.244736
FLO SWENSON,F,35,M,3002,4714,0,0
RONALD HELMS,M,27,M,6016,9561,0,0
BRYANT ABREGO,M,45,S,3130,30408,1,15789.32275
BRIDGETTE FURR,F,82,S,2827,3586,0,0
MILAN GRIMES,M,42,S,3429,34575,0,0
TREVA SHANK,F,79,S,3193,18771,0,0
STAN BOOKER,M,28,M,3977,67423,0,0
ERIN CASSIDY,M,20,M,3156,35656,3,9662.047663
RENE MCDONALD,M,73,S,4350,102245,1,3264.145787
LESTER PEREA,M,45,M,2290,32178,1,300
LAVON WING,F,59,M,2060,12268,0,0
LUCIO URENA,M,73,S,6053,13524,0,0
MAXIMO PARKINSON,M,66,S,6152,24370,1,971.7334597
THERON FRYE,M,32,S,2110,9807,0,0
KATHI ZEPEDA,F,20,M,3585,10744,0,0
RONNY SEILER,M,76,S,2558,11121,0,0
EMELIA LANGSTON,F,70,S,4007,10453,0,0
DEAN SANTAMARIA,M,75,S,4078,22972,0,0
ELLIS SCHAEFFER,M,59,S,3089,11504,0,0
RONALD SPURLOCK,M,53,S,2216,26060,1,15762.21852
MELANI HUFF,F,35,M,5255,8523,0,0
DIERDRE MATLOCK,F,55,S,4816,8592,0,0
DANI COPE,F,31,M,3355,13021,0,0
FIONA SANTANA,F,43,S,4075,21202,1,9920.864743
BETTYANN WORLEY,F,31,M,2026,30396,0,0
LATRISHA PELAYO,F,30,S,2330,20458,0,0
KRISTOFER PERALTA,M,50,S,6010,15483,0,0
ELLIOT LUDWIG,M,27,S,2220,28432,1,1770.483546
ALONZO PARIS,M,56,S,3898,629,0,0
REMEDIOS BOLT,F,24,M,5125,18507,0,0
CELESTE BAILEY,F,52,S,3083,28074,0,0
BUCK ROBISON,M,35,S,4214,35809,0,0
LLOYD CHRISTENSEN,M,47,S,2021,14239,0,0
GRAZYNA GUEVARA,F,53,S,6333,5194,0,0
TOMAS BINGHAM,M,67,S,7250,47234,2,8510.18354
EXIE CHRISTOPHER,F,51,S,4670,77161,3,46303.33404
VAUGHN BAKER,M,70,S,3021,51784,0,0
JODY WALTON,M,57,S,2594,11455,0,0
RAYFORD DESAI,M,35,S,2460,28593,0,0
DEAN DUPRE,M,65,S,2212,14298,0,0
JESS LIVELY,M,61,S,6155,48059,1,16023.46704
LEON COCHRANE,F,17,S,3021,51784,1,7606.878111
KEVA HUGGINS,F,58,S,3087,8986,0,0
NICKIE VELASCO,F,40,S,6501,1017,0,0
DARLEEN TIERNEY,F,34,S,9494,47732,0,0
MARYLN BANKSTON,F,51,S,4814,44387,0,0
DUSTY CALLAHAN,M,40,M,3106,16482,1,4499.75336
ALTAGRACIA BRANTLEY,F,45,S,4305,57601,0,0
JEFFREY SHIFFLETT,M,69,S,6051,12351,1,300
MARTA SABO,F,88,S,2127,8144,1,8772.694023
GENE LEE,M,54,S,2146,15684,0,0
KELLY PARISI,M,47,S,2500,37081,0,0
YOLANDE JOHNSTON,F,29,M,4078,22972,0,0
LENNA ZUNIGA,F,28,M,7306,3951,0,0
DANIKA ELLIS,F,53,S,5076,9260,0,0
LEATRICE HARRELSON,F,48,S,2565,16589,0,0
ARDELL TALLEY,F,38,M,2423,3228,0,0
GILLIAN WICKS,F,80,S,4116,23308,2,7581.603363
ADDIE WHITLOCK,F,21,M,2602,28574,0,0
MALIA ONEAL,F,60,S,2289,18854,0,0
AURORE LIAO,F,28,M,6025,29796,0,0
MATHA ROACH,F,56,S,4519,7553,0,0
ARTHUR KIDWELL,F,66,S,2031,32321,1,4566.049859
BARRY CHOI,M,28,S,3204,28184,0,0
HAROLD GAY,M,74,S,2076,23776,0,0
MABLE PATINO,F,37,S,2583,3999,0,0
HISAKO PAINE,F,34,M,2870,12219,0,0
NICHOLAS MACIAS,M,70,S,2850,15946,0,0
TRENTON KUHNS,M,41,S,3021,51784,1,451.6756848
FREDRICK SKAGGS,M,64,S,4720,13883,0,0
ANTONE COLBERT,M,19,M,3677,17170,0,0
NOLAN HAGUE,M,36,S,5109,20338,0,0
KALYN PRECIADO,F,43,S,3000,20625,0,0
LARITA WILLIAMS,F,49,M,2155,44028,0,0
JOEL MARKS,F,23,M,6210,60895,0,0
VANETTA SELF,F,62,M,2044,7192,0,0
RICH HOLT,M,69,S,4067,9141,1,3980.607174
WILBURN SERVIN,M,37,M,3158,6964,0,0
MOZELL PARTIDA,F,59,S,2088,27452,1,11490.87082
EUGENIO PFEIFER,M,61,S,5114,29097,0,0
MAGAN FOWLER,F,64,S,2821,4943,0,0
JEFFEREY MARK,M,17,S,3377,8682,1,1688.582142
CAITLYN DANGELO,F,33,S,2250,65633,0,0
ARTHUR LANDERS,M,63,S,3937,1902,1,3365.769641
JENNIFFER COSTA,F,16,S,4300,45132,1,2189.126654
DANICA NEWLAND,F,46,S,2251,31836,1,1595.124071
DARYL AQUINO,M,36,S,4116,23308,0,0
NAOMI CINTRON,F,76,S,2016,12033,0,0
ALANNA STEINMETZ,F,23,M,4078,22972,3,4876.005806
JONATHAN GOLDSMITH,M,17,S,2769,2933,0,0
ADRIAN RECTOR,M,82,S,2770,60345,2,17321.28177
TASHA KINDER,F,33,S,4053,41786,2,4889.046109
RIKKI COSBY,F,51,S,3081,13445,0,0
LANNIE FRIAS,F,28,M,3064,53173,1,300
LOU CEDILLO,M,48,S,6108,22965,1,2411.14113
DELORSE DERR,F,64,S,3175,47994,1,960.2270123
WILLIAN MOY,M,43,M,3350,54342,0,0
WADE NAGLE,M,20,S,2170,95044,4,12819.9675
MARCUS SANCHES,M,57,S,7321,4692,0,0
MARAGRET HORAN,F,48,S,2762,3812,0,0
ANTONIETTA NOVAK,F,20,M,3121,26120,0,0
LEANDRO SCHINDLER,M,51,M,2560,72235,1,5008.706248
MARLENA PITMAN,F,58,S,2800,41363,0,0
ARMAND STERN,M,35,S,2193,13988,1,2897.066509
CAROLYNE CONOVER,F,50,S,4870,66306,1,871.4591631
LOUETTA HIRSCH,F,36,S,4508,19671,1,9886.343372
ERYN ABDULLAH,F,65,S,4152,42501,1,1373.553235
SHONDRA CANADA,F,29,M,2566,24044,0,0
CHIQUITA MORELAND,F,77,S,4022,6682,1,745.037507
ESPERANZA LOUIS,F,31,S,4700,18116,0,0
KARAN AHN,F,40,S,2170,95044,0,0
MARGARITE LYNN,F,85,S,2205,12847,0,0
NORENE BEAL,F,70,S,2088,27452,0,0
JIM POSADA,M,59,S,2160,32845,0,0
JOHN DUNBAR,F,63,M,4814,44387,0,0
ALVARO VEGA,M,57,S,2074,20943,0,0
WALTRAUD MIRANDA,F,53,S,2646,6791,0,0
DELFINA ROWLEY,F,40,S,7250,47234,1,4698.104593
MANUAL HAMMOND,M,36,M,2264,13120,0,0
CECIL GOLD,M,50,S,2320,29289,0,0
MONET SPANN,F,34,S,6083,3462,0,0
CLIFF VAUGHT,M,57,M,3806,45549,1,786.0838512
MARYA VILLAREAL,F,36,S,3672,10333,0,0
JOESPH LEDBETTER,M,39,S,3981,4261,0,0
PORFIRIO NUNEZ,M,30,S,2478,26770,1,1256.615989
KARINE MORGAN,F,27,S,3056,22763,0,0
LILY SEELEY,F,35,S,4214,35809,0,0
ELISEO REDDEN,M,19,M,2566,24044,1,5353.090565
CHANG FOSS,M,46,S,3465,8650,1,11705.85616
LAUREEN GALL,F,76,S,5203,1019,0,0
PEDRO ANDRUS,M,52,S,2138,13519,0,0
EMILE CAPUTO,M,49,S,5017,4964,0,0
QUINN NULL,M,41,M,3199,52625,1,2688.767658
ANGELINE POPE,F,54,S,2486,30593,1,4081.392833
BERRY NEELEY,M,33,M,2583,3999,0,0
MILLARD ELLIOT,M,62,S,5169,13926,0,0
MONIQUE BURGESS,F,47,S,4217,35329,1,300
JEREMY YBARRA,M,56,S,6029,2666,0,0
ULYSSES ROBBINS,M,28,S,7277,5259,0,0
MORTON SOLORZANO,M,19,M,5074,12238,0,0
SHERISE BUNN,F,24,S,3195,34102,0,0
FLETA CHOE,F,18,M,4220,28882,1,4203.347925
LEWIS GADDY,F,45,M,2093,21611,0,0
VANESA CASANOVA,F,27,M,6153,19032,0,0
KAYLENE PLATT,F,38,S,4069,33073,0,0
CALANDRA COMEAUX,F,70,S,3031,17247,0,0
SYLVIA HENDRIX,F,65,S,3012,23126,0,0
ANNALEE HADDAD,F,48,S,6009,16570,0,0
MALIK HILDRETH,M,69,S,3078,10548,0,0
LAMAR WEBSTER,M,19,M,4812,19478,0,0
RALEIGH FORMAN,M,68,S,5082,14507,0,0
QUINN WILLIAM,M,67,S,3167,9142,0,0
CHARLEY TANAKA,M,22,M,2076,23776,0,0
JONAH NEUMAN,M,24,M,2612,14666,0,0
SAMMIE NALL,M,43,M,5158,24026,0,0
YOSHIE ANDRUS,F,73,S,836,7086,0,0
NICHELLE BRUMLEY,F,49,M,3138,20691,0,0
RAYMUNDO CORMIER,M,23,M,7005,12636,0,0
CANDYCE GIBBS,F,65,S,4159,13797,0,0
RONI NEVAREZ,F,36,S,7000,13427,0,0
HONEY MEDRANO,F,59,S,2223,19806,1,839.7549498
SHAUNTE DYSON,F,33,M,6023,15023,0,0
HYMAN ELLIOT,M,63,S,3008,5093,1,7194.61351
CEDRICK BARRIENTOS,M,34,M,4030,15127,0,0
CHELSEY CHU,F,44,S,4207,47473,0,0
NEWTON VICK,M,45,M,4113,27447,0,0
ROSALYN PRUITT,F,32,S,3173,19884,1,2357.284778
BUSTER KLINE,M,66,S,3023,55703,1,3369.282161
FONDA SOLORIO,F,34,S,3788,1664,0,0
GINGER SWANK,F,51,S,4305,57601,0,0
SHARYN WALKER,F,44,S,2216,26060,0,0
VALENTIN LEVI,M,22,M,3107,13149,0,0
CARY HOUSE,M,65,S,3020,40553,0,0
CHINA SHAH,F,74,S,7215,3284,0,0
CLARENCE CULVER,M,78,S,2015,8427,0,0
NICOLA BRATCHER,F,65,S,3175,47994,2,14894.13146
QUINN ANGEL,F,21,S,3146,24947,0,0
ASHLEY YE,F,25,M,6100,13610,0,0
LORRIANE DONALDSON,F,75,S,3055,13148,0,0
DOMINIQUE CERVANTES,M,19,M,2260,21788,1,2834.955111
CANDY SCHOEN,F,66,S,2565,16589,0,0
BRYCE PENA,M,35,M,2113,16800,0,0
VIRGILIO MADDOX,M,23,M,3975,11666,1,14378.04886
CHRISTOPHER BRINSON,M,20,M,3631,10165,0,0
PHILLIP POOLE,M,77,S,2077,34898,0,0
TULA PANTOJA,F,64,M,2303,9005,0,0
SVETLANA GIBSON,F,76,S,3357,3244,0,0
BENNIE WALDRON,M,26,M,5009,4943,0,0
OTHA SCHULZE,M,50,S,4151,14946,0,0
PAMELA PAQUETTE,F,72,S,4421,2212,0,0
BUCK WESTON,M,34,M,4105,12833,0,0
TERRY HORNE,M,88,S,2045,6651,1,14667.32455
HARLAND SEVILLA,M,23,M,2444,42618,1,6909.355961
TOMAS SWAFFORD,M,42,S,2903,9572,2,1115.566202
ALEX SHUMATE,M,79,S,2161,28269,0,0
RANAE HITT,F,68,S,4114,33199,0,0
XIOMARA QUINTANA,F,90,S,3137,13097,1,18956.42167
BOBBIE ZIELINSKI,F,29,M,2147,35074,1,3616.511605
MILISSA GALLEGOS,F,59,M,2587,2829,0,0
JESUS DEROSA,M,49,S,4021,9930,0,0
MASAKO CORONA,F,25,M,4878,11633,0,0
DOMINIQUE LOGUE,M,38,S,6059,22520,0,0
CHARLEY CLARKE,M,37,M,3191,9310,0,0
KARL CONN,F,19,M,3977,67423,2,9274.364744
FABIAN PICKARD,M,35,S,4670,77161,0,0
CLEO CORDERO,F,24,M,3199,52625,0,0
TYSON MANCINI,M,51,S,2207,27537,0,0
TAMISHA SOUZA,F,90,M,2390,8243,0,0
KARIN PRATT,F,41,S,2126,18779,0,0
GUADALUPE NOE,M,33,M,5491,1715,0,0
FERMIN GASKIN,M,28,S,2569,1270,0,0
HUNTER JANG,M,46,S,2540,41738,1,16743.62131
BLAKE WATERMAN,M,42,S,4703,20639,1,6133.52521
IGNACIO HOGUE,M,32,M,3181,18262,0,0
DEBERA RUNYON,F,78,S,4121,23782,1,3584.587114
ALLENA SHERIDAN,F,53,S,3104,20317,0,0
TROY PAN,M,31,S,5523,1691,1,3369.109541
STEPHAN SHELL,M,53,M,2305,11941,2,1033.177157
LIGIA BUCKINGHAM,F,50,M,4745,3003,0,0
BARRETT ONEIL,M,35,M,5051,13286,0,0
DEMETRIUS MICHAEL,F,40,S,5109,20338,0,0
FREDRIC MENESES,M,45,S,4500,37630,0,0
BUFORD ARCHIBALD,M,41,S,2830,37737,1,16109.63719
KIMIKO HOLLOMAN,F,50,S,2566,24044,2,12214.2812
ASHLEY MAHER,M,44,S,2137,24018,0,0
LUCIEN GURROLA,M,28,S,3429,34575,1,4240.479839
MERVIN EASLEY,M,58,S,3356,14332,0,0
CAMILLA CHIU,F,44,S,5086,15158,0,0
ROBBYN WOODY,F,44,S,3055,13148,0,0
SUZAN TOLER,F,84,S,4352,24793,0,0
BURL NAPOLITANO,M,38,S,2166,49723,0,0
BRYANT CURLEY,M,28,S,3350,54342,0,0
JOY MINER,F,20,M,2582,11512,0,0
RACHELE COON,F,56,S,3805,54481,0,0
RENITA PEEK,F,24,M,2220,28432,0,0
RUSSEL REGAN,M,66,S,2447,6811,0,0
TOMMY SHUMAN,M,35,S,3199,52625,2,7388.44409
SCOT MCLAIN,M,38,S,2560,72235,1,515.4899405
JOSE NAKAMURA,M,43,M,2160,32845,0,0
CORRIE HUMPHREY,F,40,M,2093,21611,0,0
ANDREW YUEN,M,27,M,6430,23007,0,0
NICHOL BRADLEY,F,33,S,2852,3357,1,2908.000229
CARMELITA SHINN,F,67,S,6055,12052,0,0
LUTHER TOBIAS,M,17,S,2519,16241,0,0
EVE OLEARY,F,31,S,4503,34305,0,0
CLARIBEL POE,F,82,S,2031,32321,2,10535.5955
ALMETA FLEMING,F,19,M,4350,102245,0,0
DEMETRIUS HAMLIN,M,33,S,7315,14272,1,1339.343961
LEANNE WOODWARD,F,58,S,2570,28344,1,1758.59613
IDELL LAMBERT,F,37,M,5118,17289,0,0
HAYLEY GRUBBS,F,30,S,4510,42205,0,0
JOHNETTE SCHNEIDER,F,21,M,822,24111,0,0
CATRINA YEAGER,F,52,S,3101,23878,0,0
ROLLAND GRABOWSKI,M,44,S,3187,15813,1,6598.472542
KIMBERLI BUSTOS,F,49,S,3130,30408,1,652.4266498
RIA LUM,F,46,S,5085,15783,0,0
AUGUST HIDALGO,M,58,S,2229,27301,1,11173.49
ELOY APARICIO,M,27,M,2148,58671,0,0
GARFIELD MATLOCK,M,77,S,2223,19806,0,0
BLAIR STROM,M,45,M,4561,6582,1,300
JULIUS FRANK,M,38,S,3193,18771,0,0
CRYSTAL PULLIAM,F,56,S,4350,102245,2,5892.538523
WALTON STCLAIR,M,70,S,3078,10548,0,0
SHELBY SUMNER,M,47,M,2680,22687,0,0
DENVER GREENLEE,M,64,S,4207,47473,3,6291.94204
DEVIN MAXEY,M,39,M,4020,20373,1,6937.796424
MARIO BENSON,M,72,S,2216,26060,0,0
TRUMAN WEBBER,M,33,S,5350,443,0,0
DAN RINCON,M,34,S,5086,15158,0,0
JANELLA RAZO,F,27,M,2460,28593,1,19304.27371
RAYMON GARVEY,M,49,S,3216,52005,0,0
JAMISON FULMER,M,52,S,2464,6683,0,0
REY WALTERS,M,16,S,4179,18151,1,1730.496609
MERCY MALCOLM,F,72,S,4069,33073,0,0
BART PARKINSON,M,61,S,6530,31963,0,0
HAYLEY CHISM,F,33,S,3880,3799,0,0
MELODY NORTON,F,21,M,2327,7359,0,0
LEANDRO COVERT,M,39,M,4226,29249,1,5788.498885
TIA HUBER,F,47,S,5061,9652,0,0
ROXANA GILMORE,F,26,M,2763,29849,1,7410.206882
HELENE STEPHEN,F,40,S,6060,21885,2,15626.77088
ANNEMARIE NOLL,F,45,S,4556,38726,0,0
JETTIE SEIFERT,F,43,S,2131,22190,0,0
BRANDEN BLODGETT,M,31,S,4129,6125,0,0
CHERRYL LAMBERT,F,54,S,3127,18090,0,0
CARSON ROJO,M,33,S,6725,9857,0,0
LEIF CLINE,M,54,M,2777,17783,1,1243.459734
DANNY CHIN,M,31,S,4285,18463,0,0
FREEMAN IBANEZ,M,41,S,4122,41929,2,15269.98523
FRANCISCO ROWE,M,25,M,2486,30593,0,0
BRENDON BRADY,M,39,M,2799,3841,0,0
VIVAN GALLEGOS,F,51,S,5276,1398,0,0
TIERRA POLLOCK,F,76,S,3131,21001,0,0
MERLIN VILLEGAS,M,17,S,4556,38726,0,0
MICHEL LARSEN,M,20,M,2025,7182,0,0
FREDERICK OLDS,M,22,M,2038,8669,1,2559.177672
MELANIA ALLRED,F,38,S,3019,8179,0,0
NATHANAEL MATIAS,M,64,S,3201,19121,0,0
BARBERA DUBOIS,F,56,S,2390,8243,0,0
GREG BEERS,M,16,S,2641,14313,1,14713.67136
DARREN GUILLEN,M,82,S,2060,12268,0,0
JOELLE CASILLAS,F,42,S,6169,34329,0,0
RACHAEL WICK,F,31,M,4220,28882,0,0
CLEMENCIA WITHROW,F,33,S,2777,17783,0,0
MILLARD TINSLEY,M,80,M,2830,37737,0,0
CHERYLL HWANG,F,52,S,4114,33199,1,13451.31973
EMMANUEL MCPHERSON,M,86,S,6062,31116,1,10409.43826
KEN KARR,M,64,S,2162,16989,2,17695.04971
THEDA MULLIGAN,F,50,S,5096,14456,0,0
THOMASENA MACK,F,29,S,6108,22965,1,6590.123706
JIN LUCIANO,F,46,S,3023,55703,0,0
JEREMIAH SCHULTZ,M,36,S,2460,28593,0,0
ELEASE CHAMPION,F,67,S,4034,41832,0,0
ISIS MOCK,F,55,S,2166,49723,0,0
MARYROSE DVORAK,F,49,S,3166,22343,0,0
GINO RESENDIZ,M,26,S,3356,14332,0,0
RHETT BERMUDEZ,M,51,S,2000,22758,0,0
FRANCINA CANTRELL,F,78,S,5061,9652,0,0
FLORENTINA MORSE,F,24,M,6147,14807,0,0
ALIX CALLAHAN,F,27,M,6152,24370,0,0
SANTO PLEASANT,M,36,S,5034,9667,1,6603.175606
TIMOTHY YOO,M,18,M,4060,12915,0,0
DAMIEN ROYAL,M,57,S,3075,19872,0,0
EZEKIEL HOFMANN,M,30,M,2113,16800,0,0
TIA EVERS,F,43,S,2761,27726,0,0
SELENE WYNN,F,42,S,2126,18779,0,0
JOAQUIN EDGAR,M,48,S,4510,42205,1,2507.926135
DANTE TREJO,M,25,M,4014,10778,1,4127.698775
BERT PERRYMAN,M,74,S,9494,47732,0,0
ZANE THATCHER,M,66,S,6030,37588,0,0
NEDRA PICKETT,F,68,S,3805,54481,0,0
CLAUDE MCCALL,M,35,S,5341,7493,0,0
CARMELO PIAZZA,M,35,S,4005,11331,0,0
HIEN BERTRAND,F,79,S,3174,35770,1,2365.498236
ALFONZO FRAZER,M,60,S,5007,6117,0,0
VICENTE LOVETT,M,27,S,3076,26347,0,0
MAX LOWMAN,M,55,S,5019,9136,0,0
ANITRA GODWIN,F,65,S,2745,26233,1,2553.968145
BRAIN CALLAHAN,M,67,S,2827,3586,0,0
LYNWOOD SNOWDEN,M,59,M,4114,33199,2,4395.342378
ZINA LINVILLE,F,30,S,3915,9030,0,0
MILAN HUTTON,M,34,S,3939,13616,0,0
RAY HOPPER,M,26,S,3804,6705,0,0
DEMETRIUS ARRIAGA,F,48,M,6006,8544,0,0
WESTON ADLER,M,30,M,3752,20873,0,0
MARCY MAIER,F,39,S,3038,28159,0,0
ROBBIE FORSYTHE,F,72,S,2539,16525,2,1252.464758
TRUMAN MULLINS,M,58,S,3870,1525,1,2745.277535
CORINNA LOWMAN,F,77,S,4019,19007,0,0
ELFRIEDE MEDRANO,F,40,S,2641,14313,0,0
ALESSANDRA SERRATO,F,22,M,2251,31836,1,596.3292437
ELBERT BULLOCK,M,34,M,4211,56333,2,8653.949756
PEGGY MATHEWS,F,85,S,4151,14946,0,0
DARRIN FINN,M,69,M,3996,4960,0,0
MELANIE SPEARS,F,67,S,2450,38299,0,0
MERLYN PHELAN,F,57,S,4218,29661,0,0
DIANN HAMBLIN,F,48,S,5012,9707,1,10453.3986
YUKIKO RICHEY,F,68,S,3103,15325,1,8052.778753
OSSIE MARINO,F,71,S,3071,17434,0,0
FLORENTINA GOSS,F,39,S,3550,40145,0,0
